IPI,brain TSCs (Not Phosphorylated),brownfat TSCs (Not Phosphorylated),heart TSCs (Not Phosphorylated),kidney TSCs (Not Phosphorylated),liver TSCs (Not Phosphorylated),lung TSCs (Not Phosphorylated),pancreas TSCs (Not Phosphorylated),spleen TSCs (Not Phosphorylated),testis TSCs (Not Phosphorylated),normalized_brain_TSC,normalized_brownfat_TSC,normalized_heart_TSC,normalized_kidney_TSC,normalized_liver_TSC,normalized_lung_TSC,normalized_pancreas_TSC,normalized_spleen_TSC,normalized_testis_TSC,CV
IPI00266752,3,9,6,5,10,21,3,19,7,36144.57831325301,108433.73493975904,72289.15662650602,60240.96385542169,120481.92771084337,253012.04819277106,36144.57831325301,228915.6626506024,84337.34939759035,71.27
IPI00400301,5,1,21,37,62,10,18,74,3,21645.021645021643,4329.004329004329,90909.09090909091,160173.16017316017,268398.26839826844,43290.043290043286,77922.07792207792,320346.32034632034,12987.012987012988,103.63
IPI00111908,5,41,83,185,1817,36,79,5,3,2218.2786157941437,18189.88464951198,36823.42502218278,82076.30878438332,806122.4489795918,15971.606033717833,35048.802129547475,2218.2786157941437,1330.967169476486,235.69
IPI00330094,6,2,18,145,110,25,10,14,13,17492.71137026239,5830.903790087464,52478.13411078717,422740.5247813411,320699.7084548105,72886.2973760933,29154.518950437316,40816.32653061224,37900.874635568514,136.05
IPI00131424,11,175,118,108,70,27,21,21,83,17350.157728706625,276025.23659305996,186119.8738170347,170347.00315457414,110410.09463722397,42586.750788643534,33123.028391167194,33123.028391167194,130914.8264984227,79.47
IPI00113347,8,88,79,42,4,16,2,3,42,28169.014084507042,309859.15492957743,278169.0140845071,147887.32394366196,14084.507042253521,56338.028169014084,7042.2535211267605,10563.38028169014,147887.32394366196,105.7
IPI00121319,26,14,62,27,15,58,9,18,7,110169.49152542373,59322.03389830509,262711.8644067797,114406.77966101695,63559.3220338983,245762.7118644068,38135.59322033898,76271.18644067796,29661.016949152545,77.45
IPI00858058,38,7,20,27,14,39,14,9,11,212290.5027932961,39106.14525139665,111731.84357541898,150837.98882681565,78212.2905027933,217877.09497206702,78212.2905027933,50279.32960893855,61452.513966480445,60.98
IPI00113362,17,4,12,14,10,17,5,25,6,154545.45454545453,36363.63636363636,109090.90909090909,127272.72727272726,90909.09090909091,154545.45454545453,45454.545454545456,227272.72727272726,54545.454545454544,56.06
IPI00120165,5,3,4,99,63,7,1,7,6,25641.02564102564,15384.615384615385,20512.82051282051,507692.3076923077,323076.9230769231,35897.4358974359,5128.205128205128,35897.4358974359,30769.23076923077,160.96
IPI00134704,20,19,13,72,24,17,9,11,21,97087.3786407767,92233.00970873787,63106.796116504855,349514.5631067961,116504.85436893204,82524.2718446602,43689.320388349515,53398.05825242718,101941.74757281553,83.28
IPI00113141,121,238,263,98,40,44,32,54,51,128586.60998937301,252922.42295430394,279489.90435706696,104144.52709883102,42507.97024442083,46758.76726886291,34006.376195536664,57385.75982996812,54197.662061636554,84.03
IPI00274747,33,33,23,23,22,23,30,44,39,122222.22222222222,122222.22222222222,85185.18518518518,85185.18518518518,81481.48148148149,85185.18518518518,111111.11111111111,162962.96296296298,144444.44444444444,26.51
IPI00112414,68,36,43,46,63,56,22,89,110,127579.73733583489,67542.21388367731,80675.42213883677,86303.93996247655,118198.87429643527,105065.6660412758,41275.79737335835,166979.3621013133,206378.98686679173,45.97
IPI00120162,34,8,10,8,12,4,8,29,22,251851.85185185182,59259.25925925926,74074.07407407407,59259.25925925926,88888.88888888889,29629.62962962963,59259.25925925926,214814.81481481483,162962.96296296298,71.02
IPI00126762,24,2,6,10,6,4,4,7,14,311688.3116883117,25974.025974025975,77922.07792207792,129870.12987012985,77922.07792207792,51948.05194805195,51948.05194805195,90909.09090909091,181818.18181818182,79.51
IPI00123891,33,8,14,24,5,71,18,31,22,146017.69911504426,35398.23008849558,61946.902654867255,106194.69026548673,22123.893805309734,314159.2920353982,79646.01769911504,137168.14159292035,97345.13274336283,78.2
IPI00123744,39,3,7,14,3,8,7,3,8,423913.04347826086,32608.695652173912,76086.95652173914,152173.91304347827,32608.695652173912,86956.52173913043,76086.95652173914,32608.695652173912,86956.52173913043,110.98
IPI00125931,7,2,4,9,8,11,11,8,9,101449.27536231885,28985.507246376812,57971.014492753624,130434.78260869565,115942.02898550725,159420.28985507245,159420.28985507245,115942.02898550725,130434.78260869565,39.13
IPI00457575,3,1,1,1,1,2,3,3,2,176470.58823529413,58823.529411764706,58823.529411764706,58823.529411764706,58823.529411764706,117647.05882352941,176470.58823529413,176470.58823529413,117647.05882352941,49.13
IPI00153633,4,4,5,23,58,9,44,9,14,23529.41176470588,23529.41176470588,29411.764705882353,135294.11764705883,341176.4705882353,52941.17647058824,258823.52941176473,52941.17647058824,82352.94117647059,103.08
IPI00128155,10,3,2,3,3,7,7,15,7,175438.59649122806,52631.57894736842,35087.71929824561,52631.57894736842,52631.57894736842,122807.01754385965,122807.01754385965,263157.8947368421,122807.01754385965,66.52
IPI00112963,16,29,59,57,78,111,47,29,23,35634.74387527839,64587.9732739421,131403.1180400891,126948.77505567927,173719.37639198216,247216.03563474386,104677.0601336303,64587.9732739421,51224.9443207127,61.01
IPI00125899,66,9,32,46,47,102,39,25,18,171875.0,23437.5,83333.33333333333,119791.66666666667,122395.83333333333,265625.0,101562.5,65104.16666666667,46875.0,65.65
IPI00403823,20,13,14,22,49,92,43,21,34,64935.064935064926,42207.792207792205,45454.545454545456,71428.57142857142,159090.9090909091,298701.2987012987,139610.3896103896,68181.81818181818,110389.61038961039,73.19
IPI00111959,16,2,6,17,6,19,11,30,49,102564.10256410256,12820.51282051282,38461.53846153846,108974.35897435897,38461.53846153846,121794.8717948718,70512.82051282052,192307.6923076923,314102.5641025641,84.1
IPI00137177,11,3,7,34,27,21,4,28,13,74324.32432432433,20270.27027027027,47297.2972972973,229729.72972972973,182432.43243243243,141891.8918918919,27027.02702702703,189189.1891891892,87837.83783783784,69.34
IPI00113517,31,30,25,37,43,25,10,54,18,113553.11355311355,109890.10989010989,91575.09157509157,135531.13553113551,157509.1575091575,91575.09157509157,36630.03663003663,197802.1978021978,65934.06593406593,43.42
IPI00111013,72,67,42,61,54,63,53,70,55,134078.2122905028,124767.22532588453,78212.2905027933,113594.04096834266,100558.6592178771,117318.43575418995,98696.46182495345,130353.8175046555,102420.85661080075,16.08
IPI00128154,5,1,2,14,4,3,1,2,14,108695.65217391304,21739.130434782608,43478.260869565216,304347.82608695654,86956.52173913043,65217.391304347824,21739.130434782608,43478.260869565216,304347.82608695654,101.87
IPI00125220,2,10,4,27,15,18,1,26,8,18018.018018018018,90090.09009009009,36036.036036036036,243243.24324324325,135135.13513513515,162162.16216216216,9009.009009009009,234234.23423423423,72072.07207207207,79.55
IPI00124047,33,8,24,23,27,17,19,43,29,147982.06278026907,35874.439461883405,107623.31838565023,103139.0134529148,121076.2331838565,76233.18385650223,85201.7937219731,192825.1121076233,130044.84304932735,40.4
IPI00387216,32,8,12,10,24,10,2,24,25,217687.07482993195,54421.76870748299,81632.65306122448,68027.21088435374,163265.30612244896,68027.21088435374,13605.442176870747,163265.30612244896,170068.02721088435,61.68
IPI00467383,51,11,16,24,13,26,12,35,59,206477.73279352227,44534.41295546558,64777.327935222675,97165.99190283401,52631.57894736842,105263.15789473684,48582.995951417004,141700.4048582996,238866.3967611336,64.03
IPI00321407,6,8,17,11,14,13,6,21,29,48000.0,64000.0,136000.0,88000.0,112000.0,104000.0,48000.0,168000.0,232000.0,54.41
IPI00224689,28,8,5,14,14,11,10,39,57,150537.63440860214,43010.75268817205,26881.72043010753,75268.81720430107,75268.81720430107,59139.78494623656,53763.44086021506,209677.41935483873,306451.6129032258,84.02
IPI00331507,30,6,24,15,9,25,4,26,36,171428.57142857142,34285.71428571429,137142.85714285716,85714.28571428571,51428.57142857143,142857.14285714284,22857.14285714286,148571.42857142858,205714.2857142857,58.3
IPI00133886,15,7,4,9,7,5,4,4,5,250000.0,116666.66666666667,66666.66666666667,150000.0,116666.66666666667,83333.33333333333,66666.66666666667,66666.66666666667,83333.33333333333,53.56
IPI00230113,13,17,12,28,40,17,20,7,26,72222.22222222222,94444.44444444444,66666.66666666667,155555.55555555556,222222.22222222222,94444.44444444444,111111.11111111111,38888.88888888889,144444.44444444444,50.0
IPI00315794,12,16,15,31,38,30,35,21,23,54298.642533936654,72398.19004524888,67873.3031674208,140271.49321266968,171945.70135746605,135746.6063348416,158371.0407239819,95022.62443438913,104072.39819004525,38.05
IPI00119131,12,12,17,6,1,10,3,11,24,125000.0,125000.0,177083.33333333334,62500.0,10416.666666666666,104166.66666666667,31250.0,114583.33333333333,250000.0,65.96
IPI00110885,35,24,27,43,57,69,27,37,43,96685.08287292818,66298.34254143646,74585.63535911603,118784.53038674033,157458.56353591158,190607.73480662986,74585.63535911603,102209.94475138122,118784.53038674033,37.04
IPI00121079,13,3,6,7,17,17,1,14,5,156626.5060240964,36144.57831325301,72289.15662650602,84337.34939759035,204819.27710843371,204819.27710843371,12048.192771084337,168674.6987951807,60240.96385542169,66.13
IPI00132728,31,105,135,80,57,42,19,29,26,59160.30534351145,200381.67938931298,257633.58778625957,152671.75572519086,108778.62595419848,80152.67175572518,36259.54198473282,55343.51145038168,49618.32061068702,69.22
IPI00222419,94,107,125,94,59,36,42,21,46,150641.02564102563,171474.35897435897,200320.51282051284,150641.02564102563,94551.28205128205,57692.307692307695,67307.6923076923,33653.84615384615,73717.94871794872,52.45
IPI00330476,53,18,30,27,18,79,16,28,25,180272.10884353743,61224.489795918365,102040.81632653062,91836.73469387756,61224.489795918365,268707.4829931973,54421.76870748299,95238.09523809524,85034.01360544217,63.0
IPI00405625,221,20,20,39,13,64,41,92,25,413084.1121495327,37383.17757009345,37383.17757009345,72897.19626168224,24299.065420560746,119626.16822429906,76635.5140186916,171962.6168224299,46728.97196261682,110.3
IPI00109791,17,5,16,3,5,16,1,2,8,232876.7123287671,68493.1506849315,219178.08219178082,41095.8904109589,68493.1506849315,219178.08219178082,13698.630136986301,27397.260273972603,109589.04109589041,80.01
IPI00116572,1,1,1,2,31,1,1,1,2,24390.243902439026,24390.243902439026,24390.243902439026,48780.48780487805,756097.5609756098,24390.243902439026,24390.243902439026,24390.243902439026,48780.48780487805,217.89
IPI00409255,24,15,8,18,20,25,9,7,34,150000.0,93750.0,50000.0,112500.0,125000.0,156250.0,56250.0,43750.0,212500.0,50.92
IPI00761429,6,8,5,20,6,14,2,10,25,62500.0,83333.33333333333,52083.333333333336,208333.33333333334,62500.0,145833.33333333334,20833.333333333332,104166.66666666667,260416.6666666667,71.24
IPI00116850,22,9,9,20,13,24,27,25,34,120218.57923497267,49180.32786885246,49180.32786885246,109289.6174863388,71038.25136612021,131147.54098360657,147540.98360655736,136612.0218579235,185792.34972677598,41.88
IPI00131954,14,7,8,9,14,8,14,3,12,157303.37078651684,78651.68539325842,89887.6404494382,101123.59550561798,157303.37078651684,89887.6404494382,157303.37078651684,33707.86516853933,134831.4606741573,38.98
IPI00468516,49,6,11,4,11,40,28,15,18,269230.7692307692,32967.03296703297,60439.56043956044,21978.02197802198,60439.56043956044,219780.21978021978,153846.15384615384,82417.58241758241,98901.0989010989,77.16
IPI00222828,1,1,3,44,4,9,1,1,4,14705.882352941177,14705.882352941177,44117.64705882353,647058.8235294118,58823.529411764706,132352.9411764706,14705.882352941177,14705.882352941177,58823.529411764706,184.12
IPI00109082,3,3,3,11,7,2,9,2,9,61224.489795918365,61224.489795918365,61224.489795918365,224489.79591836734,142857.14285714284,40816.32653061224,183673.46938775512,40816.32653061224,183673.46938775512,65.01
IPI00122273,9,17,33,14,5,42,11,7,2,64285.71428571428,121428.57142857142,235714.2857142857,100000.0,35714.28571428571,300000.0,78571.42857142857,50000.0,14285.714285714284,86.25
IPI00310669,11,6,3,108,101,5,12,9,85,32352.94117647059,17647.058823529413,8823.529411764706,317647.0588235294,297058.82352941175,14705.882352941177,35294.117647058825,26470.58823529412,250000.0,120.8
IPI00122743,36,42,29,35,44,46,43,55,97,84309.13348946135,98360.65573770492,67915.69086651054,81967.2131147541,103044.49648711944,107728.33723653395,100702.57611241218,128805.6206088993,227166.27634660422,42.17
IPI00406492,3,1,5,18,5,10,4,31,13,33333.333333333336,11111.111111111111,55555.555555555555,200000.0,55555.555555555555,111111.11111111111,44444.444444444445,344444.44444444444,144444.44444444444,95.52
IPI00222430,8,8,3,5,7,1,5,2,13,153846.15384615384,153846.15384615384,57692.307692307695,96153.84615384616,134615.3846153846,19230.76923076923,96153.84615384616,38461.53846153846,250000.0,64.05
IPI00308222,24,4,5,19,6,28,5,55,14,150000.0,25000.0,31250.0,118750.0,37500.0,175000.0,31250.0,343750.0,87500.0,93.27
IPI00130535,7,63,35,53,44,15,64,18,13,22435.897435897437,201923.07692307694,112179.48717948719,169871.79487179487,141025.64102564103,48076.92307692308,205128.20512820513,57692.307692307695,41666.666666666664,64.39
IPI00114416,23,80,94,66,40,32,23,20,14,58673.4693877551,204081.63265306124,239795.91836734692,168367.3469387755,102040.81632653062,81632.65306122448,58673.4693877551,51020.40816326531,35714.28571428571,66.92
IPI00459280,21,7,10,18,16,30,16,32,30,116666.66666666667,38888.88888888889,55555.555555555555,100000.0,88888.88888888889,166666.66666666666,88888.88888888889,177777.77777777778,166666.66666666666,45.07
IPI00115663,237,68,90,104,32,143,108,86,90,247390.3966597077,70981.2108559499,93945.72025052192,108559.49895615867,33402.92275574112,149269.31106471817,112734.8643006263,89770.35490605429,93945.72025052192,53.94
IPI00856500,4,3,2,5,3,8,6,3,2,111111.11111111111,83333.33333333333,55555.555555555555,138888.8888888889,83333.33333333333,222222.22222222222,166666.66666666666,83333.33333333333,55555.555555555555,50.0
IPI00116112,38,15,15,23,6,35,11,29,30,188118.81188118813,74257.42574257425,74257.42574257425,113861.38613861386,29702.9702970297,173267.32673267325,54455.44554455445,143564.35643564357,148514.8514851485,50.12
IPI00331339,19,6,8,9,10,18,7,12,10,191919.19191919192,60606.06060606061,80808.08080808082,90909.09090909091,101010.101010101,181818.18181818182,70707.0707070707,121212.12121212122,101010.101010101,41.91
IPI00316951,14,2,6,9,6,4,3,10,4,241379.3103448276,34482.75862068965,103448.27586206897,155172.41379310345,103448.27586206897,68965.5172413793,51724.137931034486,172413.7931034483,68965.5172413793,60.15
IPI00395140,2,3,1,40,30,25,5,11,1,16949.15254237288,25423.728813559323,8474.57627118644,338983.0508474576,254237.2881355932,211864.40677966102,42372.8813559322,93220.33898305085,8474.57627118644,112.45
IPI00336881,21,8,22,14,2,37,3,12,11,161538.46153846156,61538.46153846154,169230.76923076925,107692.3076923077,15384.615384615385,284615.3846153846,23076.923076923078,92307.69230769231,84615.38461538462,75.61
IPI00316740,111,77,79,100,103,107,79,130,151,118463.18036286019,82177.16115261473,84311.63287086446,106723.58591248667,109925.29348986126,114194.23692636073,84311.63287086446,138740.66168623266,161152.61472785485,23.87
IPI00381071,8,52,1,1,1,1,3,2,9,102564.10256410256,666666.6666666666,12820.51282051282,12820.51282051282,12820.51282051282,12820.51282051282,38461.53846153846,25641.02564102564,115384.61538461539,190.91
IPI00608021,2,2,4,7,18,9,1,20,2,30769.23076923077,30769.23076923077,61538.46153846154,107692.3076923077,276923.07692307694,138461.53846153847,15384.615384615385,307692.3076923077,30769.23076923077,99.55
IPI00117705,8,13,17,27,50,28,74,50,63,24242.424242424244,39393.93939393939,51515.15151515151,81818.18181818182,151515.15151515152,84848.48484848485,224242.42424242425,151515.15151515152,190909.0909090909,63.81
IPI00230034,25,25,18,42,50,12,26,14,50,95419.84732824429,95419.84732824429,68702.29007633588,160305.34351145037,190839.69465648857,45801.52671755725,99236.64122137404,53435.114503816796,190839.69465648857,50.47
IPI00127172,38,24,20,48,43,33,45,53,32,113095.23809523809,71428.57142857142,59523.80952380952,142857.14285714284,127976.19047619046,98214.28571428571,133928.57142857142,157738.09523809524,95238.09523809524,29.59
IPI00123651,7,3,7,2,3,11,9,20,6,102941.17647058822,44117.64705882353,102941.17647058822,29411.764705882353,44117.64705882353,161764.70588235295,132352.9411764706,294117.64705882355,88235.29411764706,73.13
IPI00135420,2,1,1,1,1,2,3,3,24,52631.57894736842,26315.78947368421,26315.78947368421,26315.78947368421,26315.78947368421,52631.57894736842,78947.36842105263,78947.36842105263,631578.947368421,176.75
IPI00230035,2,3,3,2,4,10,12,18,3,35087.71929824561,52631.57894736842,52631.57894736842,35087.71929824561,70175.43859649122,175438.59649122806,210526.31578947368,315789.4736842105,52631.57894736842,89.67
IPI00134371,8,18,15,22,24,30,37,44,15,37558.68544600939,84507.04225352113,70422.5352112676,103286.38497652583,112676.05633802817,140845.0704225352,173708.92018779344,206572.76995305167,70422.5352112676,48.68
IPI00329839,7,4,8,10,10,15,6,21,30,63063.063063063055,36036.036036036036,72072.07207207207,90090.09009009009,90090.09009009009,135135.13513513515,54054.05405405406,189189.1891891892,270270.2702702703,67.96
IPI00420363,3,8,6,9,12,25,19,34,27,20979.02097902098,55944.055944055945,41958.04195804196,62937.06293706294,83916.08391608392,174825.17482517482,132867.13286713287,237762.23776223775,188811.1888111888,67.96
IPI00109932,18,9,5,17,10,31,15,31,35,105263.15789473684,52631.57894736842,29239.766081871345,99415.20467836257,58479.53216374269,181286.54970760233,87719.29824561403,181286.54970760233,204678.3625730994,57.11
IPI00387379,15,133,160,65,80,28,7,23,9,28846.153846153848,255769.23076923075,307692.3076923077,125000.0,153846.15384615384,53846.15384615385,13461.538461538463,44230.769230769234,17307.69230769231,97.79
IPI00227720,1,2,2,4,1,4,2,9,1,38461.53846153846,76923.07692307692,76923.07692307692,153846.15384615384,38461.53846153846,153846.15384615384,76923.07692307692,346153.8461538461,38461.53846153846,89.0
IPI00348488,5,12,21,1,7,45,18,8,28,34482.75862068965,82758.62068965517,144827.58620689655,6896.551724137931,48275.862068965514,310344.8275862069,124137.93103448275,55172.41379310345,193103.44827586206,85.58
IPI00330057,15,4,11,5,8,9,7,10,8,194805.19480519483,51948.05194805195,142857.14285714284,64935.064935064926,103896.1038961039,116883.11688311688,90909.09090909091,129870.12987012985,103896.1038961039,38.37
IPI00134506,15,10,20,12,12,19,2,10,10,136363.63636363635,90909.09090909091,181818.18181818182,109090.90909090909,109090.90909090909,172727.27272727274,18181.81818181818,90909.09090909091,90909.09090909091,44.21
IPI00331549,32,7,10,27,45,13,22,21,14,167539.2670157068,36649.21465968586,52356.02094240837,141361.25654450263,235602.0942408377,68062.8272251309,115183.24607329843,109947.6439790576,73298.42931937172,56.83
IPI00318750,3,23,33,32,41,1,7,3,3,20547.94520547945,157534.24657534246,226027.39726027395,219178.08219178082,280821.9178082192,6849.315068493151,47945.20547945205,20547.94520547945,20547.94520547945,98.23
IPI00110659,7,18,17,2,11,17,17,7,15,63063.063063063055,162162.16216216216,153153.15315315314,18018.018018018018,99099.0990990991,153153.15315315314,153153.15315315314,63063.063063063055,135135.13513513515,47.1
IPI00114878,2,20,5,9,8,5,3,5,15,27777.777777777777,277777.7777777778,69444.44444444445,125000.0,111111.11111111111,69444.44444444445,41666.666666666664,69444.44444444445,208333.33333333334,74.21
IPI00128818,23,14,14,36,25,37,21,91,63,70987.65432098765,43209.87654320987,43209.87654320987,111111.11111111111,77160.49382716049,114197.53086419753,64814.81481481481,280864.1975308642,194444.44444444444,71.08
IPI00127902,4,15,10,8,6,15,19,11,19,37383.17757009345,140186.91588785045,93457.94392523365,74766.3551401869,56074.766355140186,140186.91588785045,177570.0934579439,102803.738317757,177570.0934579439,45.77
IPI00351266,3,5,1,3,14,12,10,19,10,38961.03896103896,64935.064935064926,12987.012987012988,38961.03896103896,181818.18181818182,155844.15584415584,129870.12987012985,246753.24675324676,129870.12987012985,69.91
IPI00265358,2,2,2,4,5,5,5,23,16,31250.0,31250.0,31250.0,62500.0,78125.0,78125.0,78125.0,359375.0,250000.0,103.44
IPI00120937,4,6,8,7,10,7,2,11,51,37735.84905660377,56603.77358490566,75471.69811320755,66037.7358490566,94339.62264150944,66037.7358490566,18867.924528301886,103773.58490566038,481132.07547169813,127.06
IPI00808370,15,11,18,29,34,77,71,74,15,43604.6511627907,31976.74418604651,52325.58139534884,84302.32558139534,98837.20930232557,223837.2093023256,206395.3488372093,215116.27906976742,43604.6511627907,72.77
IPI00280961,11,10,10,2,5,36,17,1,19,99099.0990990991,90090.09009009009,90090.09009009009,18018.018018018018,45045.045045045044,324324.3243243243,153153.15315315314,9009.009009009009,171171.17117117118,87.33
IPI00407764,1,1,1,6,7,2,1,11,19,20408.16326530612,20408.16326530612,20408.16326530612,122448.97959183673,142857.14285714284,40816.32653061224,20408.16326530612,224489.79591836734,387755.10204081633,114.01
IPI00229771,10,1,2,1,2,6,4,8,7,243902.43902439025,24390.243902439026,48780.48780487805,24390.243902439026,48780.48780487805,146341.46341463414,97560.9756097561,195121.9512195122,170731.7073170732,72.9
IPI00153660,62,146,142,79,32,34,17,18,51,106712.56454388985,251290.8777969019,244406.19621342514,135972.4612736661,55077.45266781411,58519.79345955249,29259.896729776247,30981.06712564544,87779.69018932874,76.38
IPI00331564,100,219,172,128,59,54,58,33,60,113250.2831257078,248018.1200453001,194790.48697621745,144960.36240090601,66817.66704416761,61155.152887882214,65685.16421291053,37372.59343148358,67950.16987542468,64.21
IPI00874456,12,9,6,6,5,6,8,2,4,206896.55172413794,155172.41379310345,103448.27586206897,103448.27586206897,86206.89655172414,103448.27586206897,137931.0344827586,34482.75862068965,68965.5172413793,45.31
IPI00421139,3,5,8,4,6,4,3,1,1,85714.28571428571,142857.14285714284,228571.42857142855,114285.71428571428,171428.57142857142,114285.71428571428,85714.28571428571,28571.42857142857,28571.42857142857,58.13
IPI00134809,16,83,69,56,23,21,11,30,9,50314.46540880504,261006.28930817608,216981.13207547172,176100.6289308176,72327.04402515723,66037.7358490566,34591.19496855346,94339.62264150944,28301.88679245283,76.72
IPI00674554,45,13,14,53,14,15,16,36,35,186721.9917012448,53941.90871369295,58091.286307053946,219917.01244813277,58091.286307053946,62240.66390041494,66390.04149377593,149377.59336099584,145228.21576763486,58.21
IPI00132208,14,9,5,18,16,13,14,32,31,92105.26315789473,59210.52631578947,32894.73684210526,118421.05263157895,105263.15789473684,85526.31578947368,92105.26315789473,210526.31578947368,203947.36842105264,53.98
IPI00136251,26,11,21,18,21,27,19,41,46,113043.47826086957,47826.08695652174,91304.34782608696,78260.86956521739,91304.34782608696,117391.3043478261,82608.6956521739,178260.86956521738,200000.0,44.02
IPI00110760,9,1,7,4,2,19,2,12,10,136363.63636363635,15151.515151515152,106060.60606060606,60606.06060606061,30303.030303030304,287878.7878787879,30303.030303030304,181818.18181818182,151515.15151515152,80.1
IPI00378580,16,6,9,38,9,14,12,14,23,113475.17730496454,42553.1914893617,63829.787234042546,269503.5460992908,63829.787234042546,99290.78014184398,85106.3829787234,99290.78014184398,163120.56737588655,61.97
IPI00458074,10,1,7,29,4,9,6,10,18,106382.97872340426,10638.297872340425,74468.08510638298,308510.6382978723,42553.1914893617,95744.68085106382,63829.787234042546,106382.97872340426,191489.36170212764,80.55
IPI00666885,36,12,17,125,30,44,21,47,65,90680.1007556675,30226.700251889168,42821.15869017632,314861.46095717885,75566.75062972293,110831.23425692695,52896.72544080604,118387.90931989925,163727.959697733,78.34
IPI00459033,3,5,1,19,29,25,72,27,52,12875.536480686695,21459.227467811157,4291.845493562232,81545.0643776824,124463.51931330473,107296.1373390558,309012.8755364807,115879.82832618026,223175.96566523606,91.07
IPI00132206,48,3,8,12,5,16,1,10,10,424778.7610619469,26548.672566371682,70796.46017699115,106194.69026548673,44247.78761061947,141592.9203539823,8849.557522123894,88495.57522123893,88495.57522123893,112.08
IPI00331385,8,8,1,2,3,6,3,16,27,108108.10810810812,108108.10810810812,13513.513513513515,27027.02702702703,40540.54054054054,81081.08108108108,40540.54054054054,216216.21621621624,364864.86486486485,102.08
IPI00172221,147,53,99,58,41,46,19,51,62,255208.3333333333,92013.88888888889,171875.0,100694.44444444445,71180.55555555555,79861.11111111111,32986.11111111111,88541.66666666667,107638.88888888889,58.78
IPI00556781,1,2,3,1,3,2,1,2,2,58823.529411764706,117647.05882352941,176470.58823529413,58823.529411764706,176470.58823529413,117647.05882352941,58823.529411764706,117647.05882352941,117647.05882352941,41.39
IPI00131445,77,55,48,73,64,99,27,64,60,135802.46913580247,97001.76366843033,84656.08465608465,128747.79541446207,112874.7795414462,174603.1746031746,47619.04761904762,112874.7795414462,105820.10582010582,31.69
IPI00469323,6,1,4,6,1,15,3,62,17,52173.91304347826,8695.652173913044,34782.608695652176,52173.91304347826,8695.652173913044,130434.78260869565,26086.95652173913,539130.4347826086,147826.08695652176,151.24
IPI00331394,11,27,22,20,15,25,57,29,79,38596.491228070176,94736.84210526316,77192.98245614035,70175.43859649122,52631.57894736842,87719.29824561403,200000.0,101754.38596491228,277192.98245614034,69.63
IPI00755697,25,19,21,77,4,76,54,16,36,76219.51219512195,57926.829268292684,64024.39024390244,234756.09756097558,12195.121951219513,231707.31707317074,164634.14634146343,48780.48780487805,109756.09756097561,73.0
IPI00339428,15,4,9,2,4,58,35,17,62,72815.53398058252,19417.47572815534,43689.320388349515,9708.73786407767,19417.47572815534,281553.3980582524,169902.91262135922,82524.2718446602,300970.87378640776,101.86
IPI00337050,13,13,24,15,1,105,15,3,3,67708.33333333333,67708.33333333333,125000.0,78125.0,5208.333333333333,546875.0,78125.0,15625.0,15625.0,151.09
IPI00116134,65,30,36,62,58,70,58,87,70,121268.65671641791,55970.149253731346,67164.17910447762,115671.64179104478,108208.95522388059,130597.01492537312,108208.95522388059,162313.4328358209,130597.01492537312,29.33
IPI00114375,465,78,103,84,61,272,28,69,58,381773.3990147783,64039.40886699508,84564.86042692939,68965.5172413793,50082.10180623974,223316.91297208538,22988.505747126437,56650.24630541872,47619.04761904762,105.07
IPI00122349,133,17,44,9,4,70,2,41,36,373595.5056179775,47752.808988764045,123595.50561797753,25280.898876404495,11235.955056179775,196629.21348314607,5617.9775280898875,115168.5393258427,101123.59550561798,105.04
IPI00134820,23,4,6,14,12,8,20,16,12,200000.0,34782.608695652176,52173.91304347826,121739.13043478261,104347.82608695651,69565.21739130435,173913.04347826086,139130.4347826087,104347.82608695651,49.15
IPI00553419,4,28,19,13,72,43,77,1,5,15267.175572519083,106870.22900763359,72519.08396946565,49618.32061068702,274809.1603053435,164122.13740458013,293893.1297709924,3816.793893129771,19083.969465648857,99.34
IPI00127942,41,17,44,44,52,80,39,46,37,102500.0,42500.0,110000.0,110000.0,130000.0,200000.0,97500.0,115000.0,92500.0,37.09
IPI00133713,20,1,3,2,4,2,2,5,4,465116.27906976745,23255.81395348837,69767.44186046511,46511.62790697674,93023.25581395348,46511.62790697674,46511.62790697674,116279.06976744186,93023.25581395348,122.39
IPI00110990,28,12,16,17,17,35,8,20,9,172839.5061728395,74074.07407407407,98765.43209876542,104938.27160493827,104938.27160493827,216049.38271604938,49382.71604938271,123456.79012345678,55555.555555555555,48.75
IPI00119876,1049,633,716,1125,540,924,487,1032,837,142857.14285714284,86204.54854963912,97507.83058695355,153207.1360479368,73539.42530300966,125834.12774070543,66321.6668936402,140542.01280130737,113986.10921966498,28.63
IPI00131084,50,3,3,2,2,4,2,6,12,595238.0952380953,35714.28571428571,35714.28571428571,23809.52380952381,23809.52380952381,47619.04761904762,23809.52380952381,71428.57142857142,142857.14285714284,166.93
IPI00131086,51,26,42,35,21,64,24,35,47,147826.08695652176,75362.31884057971,121739.13043478261,101449.27536231885,60869.565217391304,185507.24637681158,69565.21739130435,101449.27536231885,136231.884057971,36.75
IPI00153421,60,9,26,27,8,34,17,30,20,259740.2597402597,38961.03896103896,112554.11255411257,116883.11688311688,34632.03463203463,147186.1471861472,73593.0735930736,129870.12987012985,86580.08658008657,61.08
